1	d
2	b
3	a
4	c
5	c
6	d
7	a
8	b
9	c
10	d
11	a
12	c
13	d
14	b
15	b
16	a
17	d
18	a
19	a
20	d
21	a
22	c
23	d
24	c
25	a
26	b
27	b
28	c
29	b
30	b
31	b
32	c
33	a
34	c
35	b
36	a
37	d
38	b
39	d
40	b
41	a
42	b
43	b
44	b
45	a
46	a
47	a
48	c
49	b
50	b
51	c
52	a
53	d
54	d
55	a
56	b
57	d
58	b
59	b
60	b
61	d
62	b
63	b
64	d
65	d
66	d
67	d
68	d
69	c
70	d
71	d
72	d
73	a
74	c
75	a
76	d
77	d
78	c
79	d
80	c
81	d
82	d
83	c
84	c
85	c
86	a
87	b
88	a
89	c
90	a
91	c
92	d
93	d
94	b
95	b
96	b
97	a
98	b
99	a
100	a
101	b
102	a
103	b
104	d
105	d
106	d
107	b
108	b
109	b
110	c
111	a
112	b
113	a
114	b
115	c
116	d
117	c
118	d
119	c
120	c
121	a
122	a
123	c
124	c
125	b
126	a
127	c
128	a
129	c
130	a
131	c
132	b
133	b
134	a
135	d
136	b
137	c
138	c
139	b
140	a
141	a
142	b
143	a
144	b
145	a
146	d
147	b
148	d
149	b
150	b
151	b
152	c
153	d
154	b
155	c
156	c
157	a
158	a
159	a
160	b
161	a
162	d
163	c
164	c
165	a
166	d
167	d
168	d
169	c
170	a
171	d
172	d
173	c
174	b
175	b
176	c
177	b
178	d
179	b
180	c
181	b
182	a
183	b
184	c
185	a
186	b
187	d
188	d
189	c
190	d
191	b
192	a
193	c
194	a
195	b
196	a
197	a
198	c
199	b
200	c
201	b
202	b
203	b
204	b
205	a
206	b
207	c
208	c
209	d
210	b
211	b
212	c
213	c
214	a
215	b
216	a
217	d
218	b
219	d
220	d
221	a
222	d
223	c
224	b
225	d
226	b
227	b
228	c
229	d
230	a
231	d
232	c
233	a
234	d
235	c
236	d
237	b
238	b
239	b
240	c
241	b
242	c
243	a
244	a
245	d
246	b
247	b
248	b
249	b
250	b
251	d
252	a
253	a
254	d
255	c
256	d
257	b
258	b
259	b
260	d
261	b
262	a
263	a
264	a
265	d
266	d
267	a
268	d
269	c
270	c
271	b
272	d
273	d
274	b
275	d
276	d
277	d
278	a
279	c
280	c
281	b
282	b
283	b
284	b
285	d
286	a
287	c
288	c
289	c
290	b
291	a
292	c
293	c
294	a
295	b
296	c
297	d
298	a
299	b
300	a
